file,statistic,count,mean,std,min,25%,50%,75%,max
np1v1_results.csv,timestamp,7313.0,1721436616.4880013,181.182571127032,1721436307.732754,1721436458.113345,1721436615.166649,1721436773.363085,1721436932.797486
np1v1_results.csv,frame_time,7313.0,60.91463649209171,35.1762993162659,0.0,30.456666666666667,60.915000000000006,91.37166666666668,121.83
np1v1_results.csv,index,7313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
np1v1_results.csv,right_ankle_x,7313.0,0.45121115667031314,0.03926801284339576,0.3786992,0.41889772,0.44608483,0.47856808,0.5677675
np1v1_results.csv,right_ankle_y,7313.0,0.821077777650759,0.02762856852374491,0.7364889,0.80141485,0.81657106,0.8401971,0.9236167
np1v1_results.csv,right_knee_x,7313.0,0.45335296498837685,0.03994120684625377,0.37976635,0.41933864,0.44848245,0.48355353,0.56666183
np1v1_results.csv,right_knee_y,7313.0,0.5783798195309722,0.011989128151247763,0.5367916,0.57089424,0.5789052,0.58660406,0.6202184
np1v1_results.csv,right_hip_x,7313.0,0.4610708377615205,0.039288523425283155,0.38968536,0.43038237,0.45378718,0.48980036,0.5811783
np1v1_results.csv,right_hip_y,7313.0,0.3027887651593053,0.01869228395014244,0.23822081,0.28946424,0.30444092,0.3170235,0.3435861
np1v1_results.csv,magnitude1,7313.0,0.24310458739593582,0.023113226864668494,0.1825790409273812,0.2241055000654882,0.2384688218328408,0.2598417679942946,0.3225149096434556
np1v1_results.csv,magnitude2,7313.0,0.5185609087541864,0.03958196371125504,0.4153810278710008,0.486363156080542,0.5085816766528479,0.5523723208387294,0.6540696488066711
np1v1_results.csv,angle_deg,7313.0,2.486243803445246,1.68755275837289,0.0,1.20289742997147,2.037436812540512,3.5686862406797037,9.790379606249855
np1v1_results.csv,angular_velocity,7312.0,0.0013015283365289852,4.806137643656716,-32.04717511677923,-1.9835820883244752,0.054848958917507046,2.1172129720757464,33.69328152339953
np1v1_results.csv,linear_acceleration,7311.0,0.05749962551116468,71.02017269941796,-729.6990328980639,-27.28056348342557,0.4962885250928276,28.309368253000713,677.4862145350937
np1v2_results.csv,timestamp,7344.0,1721437341.34642,185.50668401746054,1721437025.937637,1721437179.7318563,1721437340.2590597,1721437501.9580235,1721437664.646081
np1v2_results.csv,frame_time,7344.0,61.17289510711692,35.32540212759714,0.0,30.585833333333337,61.17333333333334,91.75916666666666,122.345
np1v2_results.csv,index,7344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
np1v2_results.csv,right_ankle_x,7344.0,0.44138326101171027,0.04048652232321759,0.36768,0.40809655749999996,0.434142005,0.47168892,0.5698599
np1v2_results.csv,right_ankle_y,7344.0,0.8809542701565903,0.04184794981925154,0.73487616,0.8516364875,0.88145082,0.9113759275,0.99177384
np1v2_results.csv,right_knee_x,7344.0,0.43941156345996735,0.042798987533110504,0.36100963,0.4036536175,0.430889625,0.4738277475,0.5701762
np1v2_results.csv,right_knee_y,7344.0,0.5982247557638889,0.036312209995916694,0.513879,0.571665975,0.59363895,0.6202222374999999,0.69357747
np1v2_results.csv,right_hip_x,7344.0,0.4408405330732571,0.043694851293065905,0.37043524,0.406103365,0.42876376000000005,0.47505253,0.5879449
np1v2_results.csv,right_hip_y,7344.0,0.2757455934232026,0.04876312773197499,0.1483081,0.24402686,0.27105465500000003,0.30593826,0.40145373
np1v2_results.csv,magnitude1,7344.0,0.28320858538556126,0.027560252430963487,0.2142867420644663,0.2620039824486895,0.2771883929343303,0.3020575463667319,0.3752633920338258
np1v2_results.csv,magnitude2,7344.0,0.6054129486630242,0.04941488095153364,0.4756119010800864,0.5674396066930607,0.5943995895066513,0.6410594492538828,0.7756407379384334
np1v2_results.csv,angle_deg,7344.0,2.502529310492336,1.8134959205155037,0.0,1.057038554069347,1.9617157928839521,3.7711450649120564,12.93652267084832
np1v2_results.csv,angular_velocity,7343.0,0.007025427401786608,4.78798629375639,-35.2936569198926,-2.076862651365322,0.0364983936301859,2.1281069935909156,32.527077188108976
np1v2_results.csv,linear_acceleration,7342.0,0.013047192266918993,67.37671178537455,-627.053821011841,-28.9248706048748,-0.5415111243841568,27.514374408343485,711.4726044085791
